item_id,count,pick_rate,spread,wins,win_rate,tags,name,full_item,total_gold,count_unmasked,wr_unmasked,wr_std_unmasked
3057,165,0.01783783783783784,48,81.0,0.4909090909090909,"[Mana, CooldownReduction]",Sheen,False,1050.0,147.0,0.4897959183673469,0.041230716104171866
3060,18,0.0019459459459459454,14,12.0,0.6666666666666666,,,,,16.0,0.6875,0.11587810136086973
3065,363,0.039243243243243235,66,187.0,0.5151515151515151,"[CooldownReduction, Health, HealthRegen, SpellBlock]",Spirit Visage,True,2800.0,285.0,0.519298245614035,0.029595375273862863
3067,293,0.031675675675675675,79,130.0,0.44368600682593856,"[CooldownReduction, Health]",Kindlegem,False,800.0,253.0,0.43478260869565216,0.03116618035484765
3068,201,0.02172972972972973,29,103.0,0.5124378109452736,"[Armor, Health]",Sunfire Cape,True,2900.0,179.0,0.5139664804469274,0.03735717213107637
3069,228,0.024648648648648647,16,103.0,0.4517543859649123,"[Health, HealthRegen, ManaRegen, Active, GoldPer, CooldownReduction, NonbootsMovement]",Remnant of the Ascended,True,1500.0,208.0,0.44711538461538464,0.03447429487311059
3070,105,0.011351351351351352,21,37.0,0.3523809523809524,"[Mana, ManaRegen]",Tear of the Goddess,False,850.0,99.0,0.3434343434343434,0.047724715150576705
3071,1132,0.12237837837837838,40,615.0,0.5432862190812721,"[ArmorPenetration, CooldownReduction, Damage, Health, NonbootsMovement, OnHit]",The Black Cleaver,True,3000.0,644.0,0.5760869565217391,0.01947329653714784
3072,169,0.01827027027027027,20,95.0,0.5621301775147929,"[Damage, LifeSteal]",The Bloodthirster,True,3500.0,149.0,0.5704697986577181,0.04055272543387236
3074,155,0.016756756756756756,22,87.0,0.5612903225806452,"[Active, Damage, HealthRegen, LifeSteal, OnHit]",Ravenous Hydra,True,3500.0,139.0,0.5683453237410072,0.0420113822126263
3075,174,0.018810810810810808,49,93.0,0.5344827586206896,"[Health, Armor, Slow]",Thornmail,True,2900.0,164.0,0.5365853658536586,0.038938781768853556
3076,119,0.012864864864864866,49,60.0,0.5042016806722689,[Armor],Bramble Vest,False,1000.0,105.0,0.5047619047619047,0.048792790671909184
3077,510,0.055135135135135134,38,247.0,0.4843137254901961,"[HealthRegen, Damage, Active]",Tiamat,False,1200.0,384.0,0.4791666666666667,0.02549335964511877
3078,798,0.08627027027027027,40,408.0,0.5112781954887218,"[Health, Damage, AttackSpeed, Mana, CooldownReduction, OnHit, NonbootsMovement]",Trinity Force,True,3733.0,540.0,0.5166666666666667,0.021504617170988696
3082,195,0.02108108108108108,60,77.0,0.3948717948717949,"[Armor, Slow]",Warden's Mail,False,1000.0,179.0,0.3854748603351955,0.03637821132398789
3083,110,0.011891891891891892,31,55.0,0.5,"[Health, HealthRegen, CooldownReduction]",Warmog's Armor,True,2850.0,98.0,0.5,0.050507627227610534
3085,297,0.03210810810810811,18,166.0,0.5589225589225589,"[CriticalStrike, AttackSpeed, OnHit, NonbootsMovement]",Runaan's Hurricane,True,2800.0,239.0,0.5732217573221757,0.031993630005020174
3086,196,0.02118918918918919,25,90.0,0.4591836734693878,"[AttackSpeed, CriticalStrike, NonbootsMovement]",Zeal,False,1300.0,180.0,0.45555555555555555,0.037120276830716475
3087,190,0.02054054054054054,29,116.0,0.6105263157894737,"[AttackSpeed, CriticalStrike, NonbootsMovement, OnHit]",Statikk Shiv,True,2800.0,148.0,0.6418918918918919,0.039410066197244756
3089,414,0.04475675675675676,60,260.0,0.6280193236714976,[SpellDamage],Rabadon's Deathcap,True,3600.0,296.0,0.6790540540540541,0.02713452757862004
3091,55,0.005945945945945946,18,29.0,0.5272727272727272,"[AttackSpeed, OnHit, SpellBlock]",Wit's End,True,2400.0,49.0,0.5306122448979592,0.07129457294832352
3092,463,0.05005405405405405,32,244.0,0.5269978401727862,"[Health, SpellDamage, ManaRegen, Active, GoldPer, CooldownReduction]",Remnant of the Watchers,True,1800.0,335.0,0.5373134328358209,0.027241742976323664
